Track ID,Track name,Artist name,Popularity score,Release year,Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1Gu5Iu085zx1Lz6PDno8BN,Put The Money In The Bag,Yuno Miles,50,2021,New Releases,0.911,0.374,6,-11.387,0,0.313,0.0934,0.0,0.0707,0.626,145.147,4
7fzN9lz890zav0HERLvVKZ,prada dem (feat. Offset),Gunna,75,2024,New Releases,0.916,0.595,1,-4.418,0,0.0665,0.0507,0.0,0.107,0.638,122.024,4
3eluHrktBbrs9qCnfRcJkm,Relieve Him of His Wand / Newt Releases the Thunderbird / Jacob's Farewell,James Newton Howard,27,2016,New Releases,0.117,0.0799,5,-18.385,1,0.0378,0.914,0.902,0.0988,0.0341,85.353,4
50utqknCBo0N3QAQbXIPKV,UP!,Forrest Frank,74,2024,New Releases,0.785,0.778,0,-6.23,1,0.125,0.0342,0.0,0.0725,0.576,120.098,4
07ObLu6AWHkFTqFqAPn60q,I'm Never Gonna Say Goodbye,Wayne Newton,23,2007,New Releases,0.343,0.364,1,-11.873,1,0.0313,0.763,0.0,0.108,0.192,141.206,4
1zOgXnODZUp87IGbF3b8YB,HIND'S HALL,Macklemore,73,2024,New Releases,0.658,0.742,1,-6.475,0,0.241,0.034,0.0,0.0992,0.458,93.117,4
50YQbTyU2Rju5OnnDLewTl,Message to the hood,Yuno Miles,16,2021,New Releases,0.77,0.339,11,-14.463,1,0.109,0.144,0.0467,0.0902,0.376,155.466,4
5xR8ngEQmlQ1U2xSE0KzTo,BMXXing,mgk,68,2024,New Releases,0.746,0.839,1,-5.534,1,0.0599,0.0429,1.55e-05,0.147,0.462,105.059,4
44o432tFcpotAxuDb09E7W,A New Kind of Assassin,James Ray & The Performance,14,2021,New Releases,0.576,0.918,2,-7.262,1,0.0517,0.0108,0.642,0.125,0.209,120.885,4
5SjNA4XCvnggm47yCdNGYe,Don’t Forget Me,Imagine Dragons,69,2024,New Releases,0.585,0.499,8,-7.139,1,0.0272,0.00746,0.0,0.117,0.336,100.005,3
72QWAGZwCKRgrjKTPkXIID,my new releases,Catbreath?,9,2023,New Releases,0.595,0.531,3,-6.573,1,0.0408,0.872,0.00145,0.248,0.557,106.931,4
